/Library/Python/2.7/site-packages/tensorflow/python/ops/gradients_impl.py:93: UserWarning: Converting sparse IndexedSlices to a dense Tensor of unknown shape. This may consume a large amount of memory.
  "Converting sparse IndexedSlices to a dense Tensor of unknown shape. "
2017-07-20 18:39:28.510923: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-07-20 18:39:28.510950: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-07-20 18:39:28.510958: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-07-20 18:39:28.510964: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
train: (0.53044987, (0.73253644, 0.73291206)) test: SKIP
train: (0.52989066, (0.73291206, 0.73334157)) test: SKIP
train: (0.54675174, (0.73334157, 0.73367232)) test: SKIP
train: (0.60621232, (0.73367232, 0.733679)) test: SKIP
train: (0.54557008, (0.733679, 0.73402536)) test: SKIP
train: (0.52375996, (0.73402536, 0.73434711)) test: SKIP
train: (0.47937733, (0.73434711, 0.73483855)) test: SKIP
train: (0.48155826, (0.73483855, 0.73537099)) test: SKIP
train: (0.54377341, (0.73537099, 0.73557663)) test: SKIP
train: (0.47001776, (0.73557663, 0.73611867)) test: SKIP
train: (0.38752222, (0.73611867, 0.73700655)) test: (0.55510134, (0.73700655, 0.74462771))
train: (0.46388483, (0.74462771, 0.74517417)) test: SKIP
train: (0.60216737, (0.74517417, 0.74524617)) test: SKIP
train: (0.54932737, (0.74524617, 0.74530226)) test: SKIP
train: (0.42218688, (0.74530226, 0.74593323)) test: SKIP
train: (0.46341795, (0.74593323, 0.74649459)) test: SKIP
train: (0.44987872, (0.74649459, 0.74701941)) test: SKIP
train: (0.52311027, (0.74701941, 0.74731183)) test: SKIP
train: (0.4297272, (0.74731183, 0.74784029)) test: SKIP
train: (0.54334927, (0.74784029, 0.74790859)) test: SKIP
train: (0.58873534, (0.74790859, 0.74786574)) test: SKIP
train: (0.55544341, (0.74786574, 0.74799645)) test: SKIP
train: (0.57914102, (0.74799645, 0.74819893)) test: SKIP
train: (0.51973283, (0.74819893, 0.74850106)) test: SKIP
train: (0.47233555, (0.74850106, 0.74901688)) test: SKIP
train: (0.42903864, (0.74901688, 0.74966687)) test: SKIP
train: (0.41622695, (0.74966687, 0.75036466)) test: SKIP
train: (0.51571095, (0.75036466, 0.75069755)) test: SKIP
train: (0.42430857, (0.75069755, 0.75141346)) test: SKIP
train: (0.40176949, (0.75141346, 0.75214553)) test: SKIP
train: (0.42969525, (0.75214553, 0.75270516)) test: (0.52782369, (0.75270516, 0.76007998))
train: (0.41702032, (0.76007998, 0.76065069)) test: SKIP
train: (0.35761419, (0.76065069, 0.76125956)) test: SKIP
train: (0.30304447, (0.76125956, 0.76209968)) test: SKIP
train: (0.36178246, (0.76209968, 0.76268351)) test: SKIP
train: (0.27813697, (0.76268351, 0.76338172)) test: SKIP
train: (0.43932796, (0.76338172, 0.76391208)) test: SKIP
train: (0.46555024, (0.76391208, 0.76422822)) test: SKIP
train: (0.32533467, (0.76422822, 0.76493925)) test: SKIP
train: (0.4368301, (0.76493925, 0.76526845)) test: SKIP
train: (0.37042356, (0.76526845, 0.76588976)) test: SKIP
train: (0.39669114, (0.76588976, 0.7663362)) test: SKIP
train: (0.36747748, (0.7663362, 0.7670089)) test: SKIP
train: (0.44315305, (0.7670089, 0.76727974)) test: SKIP
train: (0.34341633, (0.76727974, 0.7679044)) test: SKIP
train: (0.35688561, (0.7679044, 0.76852286)) test: SKIP
train: (0.38228494, (0.76852286, 0.76901805)) test: SKIP
train: (0.36033595, (0.76901805, 0.76958543)) test: SKIP
train: (0.3582657, (0.76958543, 0.77011836)) test: SKIP
train: (0.26764759, (0.77011836, 0.77086103)) test: SKIP
train: (0.31223398, (0.77086103, 0.77138901)) test: (0.50526601, (0.77138901, 0.77694112))
train: (0.31281137, (0.77694112, 0.77748793)) test: SKIP
train: (0.34343362, (0.77748793, 0.77792895)) test: SKIP
train: (0.34198925, (0.77792895, 0.77845216)) test: SKIP
train: (0.27306604, (0.77845216, 0.77906007)) test: SKIP
train: (0.31215441, (0.77906007, 0.77960217)) test: SKIP
train: (0.20727484, (0.77960217, 0.78033406)) test: SKIP
train: (0.48419291, (0.78033406, 0.78055251)) test: SKIP
train: (0.32913214, (0.78055251, 0.78105015)) test: SKIP
train: (0.28426892, (0.78105015, 0.78158826)) test: SKIP
train: (0.29690146, (0.78158826, 0.78213716)) test: SKIP
train: (0.28229302, (0.78213716, 0.78269374)) test: SKIP
train: (0.33463815, (0.78269374, 0.78317297)) test: SKIP
train: (0.28772867, (0.78317297, 0.78374225)) test: SKIP
train: (0.38218367, (0.78374225, 0.78406483)) test: SKIP
train: (0.18303956, (0.78406483, 0.78484303)) test: SKIP
train: (0.22737822, (0.78484303, 0.78549993)) test: SKIP
train: (0.26877168, (0.78549993, 0.78599161)) test: SKIP
train: (0.22405705, (0.78599161, 0.78662455)) test: SKIP
train: (0.25697222, (0.78662455, 0.787193)) test: SKIP
train: (0.15941307, (0.787193, 0.78791314)) test: (0.55378664, (0.78791314, 0.79095209))
train: (0.27574235, (0.79095209, 0.79145759)) test: SKIP
train: (0.18892914, (0.79145759, 0.79205698)) test: SKIP
train: (0.24421743, (0.79205698, 0.79261309)) test: SKIP
train: (0.29158273, (0.79261309, 0.79301429)) test: SKIP
train: (0.25383934, (0.79301429, 0.79357189)) test: SKIP
train: (0.25810799, (0.79357189, 0.79406744)) test: SKIP
train: (0.31076837, (0.79406744, 0.79443151)) test: SKIP
train: (0.31693542, (0.79443151, 0.79486138)) test: SKIP
train: (0.19161278, (0.79486138, 0.79548663)) test: SKIP
train: (0.37510425, (0.79548663, 0.79578584)) test: SKIP
train: (0.2866329, (0.79578584, 0.79624611)) test: SKIP
train: (0.30298963, (0.79624611, 0.79666775)) test: SKIP
train: (0.31830099, (0.79666775, 0.79705912)) test: SKIP
train: (0.2612617, (0.79705912, 0.79755944)) test: SKIP
train: (0.37520462, (0.79755944, 0.79790145)) test: SKIP
train: (0.25793892, (0.79790145, 0.7984128)) test: SKIP
train: (0.27626428, (0.7984128, 0.7988649)) test: SKIP
train: (0.2171118, (0.7988649, 0.7994104)) test: SKIP
train: (0.28629985, (0.7994104, 0.79979092)) test: SKIP
train: (0.22052082, (0.79979092, 0.80032408)) test: (0.52025265, (0.80032408, 0.80276322))
train: (0.17766285, (0.80276322, 0.80329072)) test: SKIP
train: (0.14915885, (0.80329072, 0.80383849)) test: SKIP
train: (0.1909337, (0.80383849, 0.8043257)) test: SKIP
train: (0.18478531, (0.8043257, 0.80484617)) test: SKIP
train: (0.22799736, (0.80484617, 0.80535775)) test: SKIP
train: (0.21216317, (0.80535775, 0.80580688)) test: SKIP
train: (0.19141129, (0.80580688, 0.80629516)) test: SKIP
train: (0.16893359, (0.80629516, 0.8068018)) test: SKIP
train: (0.23681201, (0.8068018, 0.80723876)) test: SKIP
train: (0.2275824, (0.80723876, 0.80765694)) test: SKIP
train: (0.18603924, (0.80765694, 0.8081308)) test: SKIP
train: (0.089958489, (0.8081308, 0.80873537)) test: SKIP
train: (0.17949565, (0.80873537, 0.80925542)) test: SKIP
train: (0.30225152, (0.80925542, 0.8096168)) test: SKIP
train: (0.25361979, (0.8096168, 0.81001043)) test: SKIP
train: (0.20224965, (0.81001043, 0.81048751)) test: SKIP
train: (0.31345761, (0.81048751, 0.81079036)) test: SKIP
train: (0.29884088, (0.81079036, 0.81111032)) test: SKIP
train: (0.26680389, (0.81111032, 0.81148428)) test: SKIP
train: (0.23878205, (0.81148428, 0.81192774)) test: (0.52092659, (0.81192774, 0.81256157))
train: (0.19039807, (0.81256157, 0.81301314)) test: SKIP
train: (0.34021986, (0.81301314, 0.81324869)) test: SKIP
train: (0.29307458, (0.81324869, 0.81355935)) test: SKIP
train: (0.22525507, (0.81355935, 0.8139782)) test: SKIP
train: (0.19646811, (0.8139782, 0.81443328)) test: SKIP
train: (0.32180607, (0.81443328, 0.81473541)) test: SKIP
train: (0.16558932, (0.81473541, 0.81519461)) test: SKIP
train: (0.25596911, (0.81519461, 0.81553221)) test: SKIP
train: (0.29473042, (0.81553221, 0.81588525)) test: SKIP
train: (0.23129846, (0.81588525, 0.81630844)) test: SKIP
train: (0.25423464, (0.81630844, 0.81664765)) test: SKIP
train: (0.17188348, (0.81664765, 0.81708008)) test: SKIP
train: (0.30618, (0.81708008, 0.81734592)) test: SKIP
train: (0.22776815, (0.81734592, 0.81769431)) test: SKIP
train: (0.25104672, (0.81769431, 0.81802207)) test: SKIP
train: (0.29904127, (0.81802207, 0.81831354)) test: SKIP
train: (0.28274339, (0.81831354, 0.81859905)) test: SKIP
train: (0.25708351, (0.81859905, 0.8189562)) test: SKIP
train: (0.27149665, (0.8189562, 0.81931335)) test: SKIP
train: (0.2472209, (0.81931335, 0.81967032)) test: (0.51126736, (0.81967032, 0.82052767))
train: (0.26018667, (0.82052767, 0.82085216)) test: SKIP
train: (0.33765388, (0.82085216, 0.82106864)) test: SKIP
train: (0.21970393, (0.82106864, 0.82142574)) test: SKIP
train: (0.19815989, (0.82142574, 0.82180387)) test: SKIP
train: (0.30711833, (0.82180387, 0.82207054)) test: SKIP
train: (0.32342052, (0.82207054, 0.8222667)) test: SKIP
train: (0.27730161, (0.8222667, 0.82254219)) test: SKIP
train: (0.20606527, (0.82254219, 0.82290238)) test: SKIP
train: (0.25611925, (0.82290238, 0.82316709)) test: SKIP
train: (0.16858548, (0.82316709, 0.8235603)) test: SKIP
train: (0.20062453, (0.8235603, 0.82392186)) test: SKIP
train: (0.15979373, (0.82392186, 0.82429326)) test: SKIP
train: (0.19158028, (0.82429326, 0.824655)) test: SKIP
train: (0.09154059, (0.824655, 0.82510597)) test: SKIP
train: (0.18016741, (0.82510597, 0.82548594)) test: SKIP
train: (0.30496621, (0.82548594, 0.82578146)) test: SKIP
train: (0.087860949, (0.82578146, 0.82623076)) test: SKIP
train: (0.25054783, (0.82623076, 0.82659197)) test: SKIP
train: (0.13466869, (0.82659197, 0.82701844)) test: SKIP
train: (0.29371259, (0.82701844, 0.82729882)) test: (0.61921662, (0.82729882, 0.82643944))
train: (0.11945064, (0.82643944, 0.82684845)) test: SKIP
train: (0.21043134, (0.82684845, 0.82712907)) test: SKIP
train: (0.32195583, (0.82712907, 0.82734942)) test: SKIP
train: (0.29469705, (0.82734942, 0.827537)) test: SKIP
train: (0.30728373, (0.827537, 0.82776415)) test: SKIP
train: (0.33677495, (0.82776415, 0.82793868)) test: SKIP
train: (0.22773279, (0.82793868, 0.82823849)) test: SKIP
train: (0.18829694, (0.82823849, 0.82857603)) test: SKIP
train: (0.19814083, (0.82857603, 0.82888681)) test: SKIP
train: (0.29217428, (0.82888681, 0.82913131)) test: SKIP
train: (0.20228484, (0.82913131, 0.82944351)) test: SKIP
train: (0.24235202, (0.82944351, 0.82971382)) test: SKIP
train: (0.22643663, (0.82971382, 0.83000648)) test: SKIP
train: (0.1766361, (0.83000648, 0.83034229)) test: SKIP
train: (0.1369155, (0.83034229, 0.83072764)) test: SKIP
train: (0.23135285, (0.83072764, 0.83103079)) test: SKIP
train: (0.16504215, (0.83103079, 0.83135837)) test: SKIP
